source target probability
382 D V 4.16350002409874e-34
383 U V 1.84881035301568e-34
384 P L 6.62563205107369e-35
385 P C 5.39730654884902e-35
386 F L 1.89580101499585e-35
387 E V 8.3552847715024e-36
388 N C 2.39835531384805e-36
389 J C 1.63768757572651e-36
390 U F 1.56840595628629e-36
391 L C 1.03065806313941e-36
392 N V 1.18936415773297e-37
393 S V 7.15397824036447e-38
394 X L 6.80534703966404e-38
395 B U 5.83508362520119e-38
396 B C 4.0300006831716e-38
397 J U 3.11392581569642e-38
398 A F 1.6831845488074e-38
399 M F 1.5787885087697e-38
400 E F 1.26011327906299e-38
401 U C 5.66436618431652e-39
402 E L 4.70352586139721e-39
403 Q V 3.48795063841334e-39
404 X V 2.10461087782526e-39
405 D F 8.45876326112764e-40
406 O V 4.58031449427068e-40
407 M V 4.31788997263822e-40
408 W L 3.7671084667881e-40
409 K V 3.09646472835081e-40
410 X F 2.95751673269945e-40
411 E C 1.95610345918077e-40
412 D C 1.88402545901104e-40
413 R V 1.84809064643501e-40
414 O L 1.49745950454962e-40
415 B V 2.66033547541158e-41
416 W C 2.38130630568448e-41
417 T C 1.93548120732447e-41
418 S F 1.14846503572482e-41
419 N L 9.91537610215945e-42
420 M C 9.41905650922222e-42
421 Q C 5.33843133370122e-42
422 Q L 4.99487610653201e-42
423 C L 4.16999851362861e-42
424 N F 3.76071786022286e-42
425 G C 2.61315448215996e-42
426 R F 2.42901934417101e-42
427 H L 2.32859158255199e-42
428 X C 2.19172239402591e-42
429 F U 2.06184934813912e-42
430 G F 7.39868381738623e-43
431 O F 5.17889217792954e-43
432 P U 4.92854543669246e-43
433 A L 4.36198205127834e-43
434 R C 4.25501087469628e-43
435 P V 3.93246205670193e-43
436 C F 3.59239076331465e-43
437 H V 2.72578333765613e-43
438 S C 1.49086835303794e-43
439 D L 8.40197694495128e-44
440 G V 6.01145497706581e-44
441 T L 2.42630762137733e-44
442 J O 9.3685023053014e-45
443 H F 8.93851035983421e-45
444 T F 4.17148105470207e-45
445 P O 2.14448006087724e-45
446 K L 1.64668497325076e-45
447 G L 2.85867188121497e-46
448 M T 1.44659359527328e-47
449 Z O 1.44533663391013e-47
450 M L 6.25169293855394e-48
451 S L 2.86764038260417e-48
452 R L 1.70624185805632e-48
453 N U 7.65111091674265e-49
454 W O 2.49728759024461e-49
455 V U 9.62137751457438e-50
456 D U 8.62126937635858e-50
457 Q U 1.21784969557797e-50
458 X U 5.12369306857467e-51
459 Y O 5.07009447769957e-51
460 L O 2.26085588798873e-51
461 O U 4.13183044535699e-52
462 W U 4.09539666127487e-52
463 E U 1.67750406833109e-52
464 A U 9.83532483950316e-54
465 D O 7.1357092507126e-54
466 F O 6.31949793821919e-54
467 M U 9.54990222000167e-55
468 N O 5.63964496779175e-55
469 C U 3.16885673586532e-55
470 X O 3.09701175371383e-55
471 E O 8.53855112594323e-56
472 G O 6.12528054485711e-56
473 V O 1.99331129354301e-56
474 K O 1.70693808885172e-56
475 Q O 9.51920232534869e-57
476 U O 3.35977558346261e-57
477 T U 5.6168975389472e-58
478 K U 4.22471030911631e-58
479 H U 1.72583638704949e-58
480 T O 9.48678070063309e-59
481 R O 7.77286764330544e-59
482 H O 3.00253076856169e-59
483 R U 2.93043065308999e-59
484 M O 2.3934396252987e-59
485 Z G 2.31611248302616e-59
486 G U 1.15202597974395e-59
487 S U 5.43342821913821e-60
488 A O 4.89255007044171e-60
489 C O 5.87866196351923e-62
490 F N 8.67392164265623e-67
491 I M 2.04717509914291e-67
492 V N 9.60628277921771e-70
493 B N 6.5403860216312e-73
494 U N 1.65575817555005e-74
495 P N 1.00781070397171e-86
496 B G 7.68213648173013e-87
497 B S 3.68658628259466e-91
498 L N 5.86978889733125e-92
499 J N 1.78299580035499e-96
500 X N 2.79629111447216e-99
501 C N 9.06046321205406e-100
502 E N 4.89925859209833e-100
503 Q N 2.98251491406722e-100
504 K N 4.89977854931353e-101
505 J M 6.3381136555544e-103
506 O N 1.51270817814884e-108
507 W N 8.96707280051157e-109
508 Q G 7.1404107253847e-111
509 H N 5.21872579119174e-111
510 D N 6.09262767742924e-113
511 R N 1.7555427256146e-113
512 A N 6.72291732989608e-114
513 M N 1.72583659178979e-114
514 F G 5.5234006956676e-115
515 G N 4.27272337473567e-115
516 S N 1.10306467126344e-116
517 T N 1.81464405515459e-117
518 P G 5.81591620069494e-118
519 Z S 2.08005020731033e-120
520 L G 5.49509382867038e-122
521 F M 1.98829131271419e-122
522 P S 2.79836997667895e-124
523 B H 5.13926482000928e-125
524 U M 1.1552484034441e-125
525 N G 8.53764133265433e-126
526 L M 3.62814491856683e-126
527 V M 3.89375815719736e-127
528 Y S 2.42510190641426e-132
529 T M 9.29993596705957e-133
530 A C 6.8813809022427e-133
531 X M 6.13681289197387e-134
532 W M 3.89669024925648e-134
533 E M 2.16795205511381e-135
534 N M 8.01303281431506e-137
535 U G 2.83514581784133e-137
536 O C 1.98097317273568e-137
537 Q M 4.23195355057023e-140
538 D M 3.50085254503683e-143
539 K M 6.80056940331955e-145
540 H C 6.01464972395962e-146
541 M G 1.22579487450188e-148
542 C G 2.57515765481025e-150
543 G M 1.61371418976161e-151
544 K G 5.96872324512234e-152
545 P H 4.25496646847373e-152
546 W G 3.88720120291713e-152
547 R M 3.86183895949188e-152
548 E G 3.34451561883651e-152
549 O G 1.87253414857616e-152
550 D G 1.14633864915381e-153
551 U S 5.6219022554929e-154
552 A M 4.08871458484265e-154
553 V G 4.05686604352822e-154
554 S G 3.50016978665958e-155
555 R G 8.2810911952348e-156
556 A G 5.7634125506401e-156
557 H G 8.08617898187185e-157
558 C M 1.94499599320719e-157
559 T G 2.23651777692135e-161
560 F S 1.51203225429269e-162
561 V S 1.96567168792313e-167
562 J S 1.24868404723828e-167
563 X S 4.75822771170975e-168
564 L S 2.0478480900667e-169
565 W S 2.49811135019537e-171
566 E S 9.07084611498554e-173
567 Z H 1.11613447251337e-175
568 N S 8.89381449050225e-178
569 G S 2.41347162694898e-184
570 Q S 1.33899298845193e-184
571 D S 2.22834939441108e-188
572 T H 4.4671988614547e-194
573 O H 1.92283138861079e-194
574 K S 2.50545831144768e-201
575 R S 8.68830396083233e-203
576 C S 8.15109749979217e-204
577 A S 1.48706451157084e-208
578 E H 8.24862123777718e-209
579 X H 2.68175477393335e-209
580 V H 5.71989686456857e-215
581 U H 2.12516623814272e-217
582 W H 1.85888770489662e-223
583 F H 1.40634445464881e-228
584 Y H 6.11167864374614e-231
585 J H 2.02018278084436e-232
586 D H 2.54112663830274e-235
587 L H 2.5952293198092e-236
588 G H 3.93050090165279e-240
589 N H 7.93510096505039e-241
590 Q H 1.42716348314004e-253
591 C H 7.00564939292214e-254
592 R H 1.95188166840729e-256
593 A H 5.13219139449041e-261
594 K H 3.30562977533388e-261
595 X I 0
596 W I 0
597 U Z 0
598 U Y 0
599 U I 0
600 S Z 0
601 S Y 0
602 S T 0
603 S P 0
604 S M 0
605 S I 0
606 S B 0
607 P I 0
608 O Z 0
609 O Y 0
610 O T 0
611 O S 0
612 O P 0
613 O M 0
614 O I 0
615 O B 0
616 N Z 0
617 N Y 0
618 N I 0
619 M Z 0
620 M Y 0
621 M P 0
622 M I 0
623 M B 0
624 L Z 0
625 L Y 0
626 L I 0
627 J Z 0
628 J Y 0
629 J I 0
630 H Z 0
631 H Y 0
632 H T 0
633 H S 0
634 H P 0
635 H M 0
636 H I 0
637 H B 0
638 G Z 0
639 G Y 0
640 G X 0
641 G J 0
642 G I 0
643 E I 0
644 D Z 0
645 D I 0
646 B I 0
647 A Z 0
648 A Y 0
649 A V 0
650 A I 0
